,scenario,specie,max_forcing
263,low,HCFC-142b,0.006260730784325432
264,low,CCl4,0.025763320455932097
265,low,CHCl3,0.0005934517887763112
266,low,CH2Cl2,0.0013624803186466502
267,low,CH3Cl,0.0006741144792554175
268,low,CH3CCl3,0.013248839882345993
269,low,CH3Br,2.3304762072437594e-05
270,low,Halon-1211,0.0019051419849324086
271,low,Halon-1301,0.0015376360429081453
272,low,Halon-2402,0.00021858647558539097
273,low,CF4,0.00948803502333987
274,low,C2F6,0.002088370454592383
275,low,C3F8,0.00030696297791710296
276,low,c-C4F8,0.0009676574193700467
277,low,C4F10,0.0001173468595882596
278,low,C5F12,9.154643259606481e-05
279,low,C6F14,0.00018068091914646072
280,low,C7F16,7.040894030832303e-05
281,low,C8F18,5.3285641673521815e-05
282,low,NF3,0.001638249108457801
283,low,SF6,0.020624914846136957
284,low,SO2F2,0.001020344474968542
285,low,HFC-125,0.028463975034141595
286,low,HFC-134a,0.030770922680700127
287,low,HFC-143a,0.014415751012351645
288,low,HFC-152a,0.0012671785756174928
289,low,HFC-227ea,0.0010461018123349476
290,low,HFC-23,0.008971511917867523
291,low,HFC-236fa,0.00017785899421468704
292,low,HFC-245fa,0.0018384181267882668
293,low,HFC-32,0.003735980688984043
294,low,HFC-365mfc,0.0004176236153498941
295,low,HFC-4310mee,0.0001586224382214571
296,low,Solar,0.29898468347298435
297,low,Volcanic,0.35987349642241195
298,low,Aerosol-radiation interactions,0.3104788564425156
299,low,Aerosol-cloud interactions,1.848805103924402
300,low,Ozone,0.9948619740102993
301,low,Light absorbing particles on snow and ice,0.28437393318286985
302,low,Stratospheric water vapour,0.19638636472925375
303,low,Land use,0.01637098439267281
304,low,Equivalent effective stratospheric chlorine,0.0
305,verylow,CO2 FFI,0.0
306,verylow,CO2 AFOLU,0.0
307,verylow,CO2,3.010394435377529
308,verylow,CH4,0.8639719743604187
309,verylow,N2O,0.39256557088230365
310,verylow,Sulfur,0.0
311,verylow,BC,0.0
312,verylow,OC,0.0
313,verylow,NH3,0.0
314,verylow,NOx,0.0
315,verylow,VOC,0.0
316,verylow,CO,0.0
317,verylow,CFC-11,0.11346946214032087
318,verylow,CFC-12,0.28191276729029147
319,verylow,CFC-113,0.03658975647398766
320,verylow,CFC-114,0.007518818920345139
321,verylow,CFC-115,0.003629982969701638
322,verylow,HCFC-22,0.07772584985568823
323,verylow,HCFC-141b,0.0056988005322947104
324,verylow,HCFC-142b,0.006260730784325432
325,verylow,CCl4,0.025763320455932097
326,verylow,CHCl3,0.0005934517887763112
327,verylow,CH2Cl2,0.0013624803186466502
328,verylow,CH3Cl,0.0006741144792554175
329,verylow,CH3CCl3,0.013248839882345993
330,verylow,CH3Br,2.3304762072437594e-05
331,verylow,Halon-1211,0.0019051419849324086
332,verylow,Halon-1301,0.0015376360429081453
333,verylow,Halon-2402,0.00021858647558539097
334,verylow,CF4,0.009352161480162742
335,verylow,C2F6,0.002056133937195537
336,verylow,C3F8,0.00029810644515315514
337,verylow,c-C4F8,0.0009925636324603195
338,verylow,C4F10,0.00011522778506202982
339,verylow,C5F12,9.069568882191167e-05
340,verylow,C6F14,0.00017654068519275858
341,verylow,C7F16,6.907073849393503e-05
342,verylow,C8F18,5.273232244365747e-05
343,verylow,NF3,0.001645120283022849
344,verylow,SF6,0.02056839420921135
345,verylow,SO2F2,0.0009575614318308248
346,verylow,HFC-125,0.01895387475907353
347,verylow,HFC-134a,0.02943104458195221
348,verylow,HFC-143a,0.00987498010633901
349,verylow,HFC-152a,0.0012671785756174928
350,verylow,HFC-227ea,0.0008585933144832225
351,verylow,HFC-23,0.008971511917867523
352,verylow,HFC-236fa,0.00015283715817936578
353,verylow,HFC-245fa,0.0014596245163086487
354,verylow,HFC-32,0.003735980688984043
355,verylow,HFC-365mfc,0.0004031147277255521
356,verylow,HFC-4310mee,0.00015741223779838483
357,verylow,Solar,0.29898468347298435
358,verylow,Volcanic,0.35987349642241195
