,scenario,specie,mean_max_forcing,max_forcing_std,min_year,max_year,year_range,cv_at_maxforcing_year,cv_300,cv_350,cv_400
43,high-extension,Halon-2402,0.00015190793174458877,1.705384883636737e-05,2005,2005,0,0.0,6.949198218419309e-17,9.09577650690916e-17,8.13140977266425e-17
44,high-extension,Land use,2.342604930246366e-05,0.0006793554297714462,1750,2150,400,0.10629307554510256,0.014771647243459512,0.11198995329643693,0.17906510360413289
45,high-extension,Light absorbing particles on snow and ice,0.09158392746428275,0.05701556405258003,2011,2251,240,9.885114119267157e-05,0.5388643793069666,1.1044266727615155,1.7706645434182646
46,high-extension,NF3,0.003325876232435874,0.00037337741265408835,2217,2217,0,0.6431123159734278,0.13418044948839103,0.354479939880612,0.5239097685192138
47,high-extension,NH3,0.0,0.0,1750,1750,0,0.0,0.0,0.0,0.0
48,high-extension,NOx,0.0,0.0,1750,1750,0,0.0,0.0,0.0,0.0
49,high-extension,Neg_allCH4,9.811977388775332e-05,9.435730651225825e-06,1753,1753,0,0.0,0.1604187332088756,0.5632069698281134,0.6863548753826292
50,high-extension,Neg_ariNH3,0.050746999457822725,0.0034247322977913044,2100,2100,0,0.14361581668336926,0.09076416382435866,0.17142506563052437,0.16949831329045878
51,high-extension,Neg_o3CO,0.01912524642147375,0.031741299815849215,1997,2250,253,0.11797399187993164,0.12500572772779733,0.34932982084056635,0.5396324211216271
52,high-extension,Neg_o3N2O,2.0959864856115367e-05,1.9464407127173577e-06,1754,1754,0,0.0,0.06088911509422833,0.1926727976872755,0.29258900523008646
53,high-extension,Neg_o3VOC,0.004784854931022109,0.008809734115403705,1997,2250,253,0.24161524023929645,0.37234213472271327,0.7857491793733916,0.967236694715886
54,high-extension,Neg_o3ariNOx,0.0033890263196229447,0.013536550866415274,1796,2007,211,0.0,0.42085910632023965,0.5923488553388043,0.5853669612274552
55,high-extension,OC,0.0,0.0,1750,1750,0,0.0,0.0,0.0,0.0
56,high-extension,SF6,0.041432705224147305,0.004651416707867503,2243,2243,0,0.6240235745147782,0.1312844307566094,0.34755996658302474,0.4960409183408157
57,high-extension,SO2F2,0.0008242442753334503,9.253326744920646e-05,2055,2055,0,0.15912124553021123,0.1781386380466636,0.3185261810679258,0.4676965977337655
58,high-extension,Solar,0.15096113435898798,0.04615365058017509,1812,1959,147,0.0,7.993087008935313e-17,7.931150842922247e-17,8.038727616549208e-17
59,high-extension,Sulfur,0.0,0.0,1750,1750,0,0.0,0.0,0.0,0.0
60,high-extension,VOC,0.0,0.0,1750,1750,0,0.0,0.0,0.0,0.0
61,high-extension,Volcanic,0.2461563558940813,0.03671869934656727,1876,1876,0,0.0,0.0,0.0,0.0
62,high-extension,allCH4,1.6570542976626215,0.166281828848822,2106,2135,29,0.2860876425637494,0.1604187332088756,0.5632069698281134,0.6863548753826292
63,high-extension,ariNH3,6.343637373048446e-05,4.281092484100749e-06,1752,1752,0,0.0,0.09076416382435866,0.17142506563052437,0.16949831329045878
64,high-extension,c-C4F8,0.0013722543995872902,0.00015405528089836119,2240,2240,0,0.3222673248024002,0.09525522388427325,0.20336104487767148,0.26095810557160526
65,high-extension,o3CO,0.03978552044319709,0.047726628803422225,1997,2250,253,0.030501431818847468,0.12500572772779733,0.34932982084056635,0.5396324211216271
66,high-extension,o3N2O,0.8931066385303337,0.0893232336341863,2300,2300,0,0.39486695062832017,0.06088911509422833,0.1926727976872755,0.29258900523008646
67,high-extension,o3VOC,0.05364366136772306,0.04044063783829063,1997,2250,253,0.0016416178329829295,0.37234213472271327,0.7857491793733916,0.967236694715886
68,high-extension,o3ariNOx,0.16561186980105344,0.09606159350515654,1796,2007,211,0.0,0.42085910632023965,0.5923488553388043,0.5853669612274552
69,high-overshoot,Aerosol-cloud interactions,0.15036778823443772,0.2041890333459895,1753,2251,498,0.28267622774441736,0.5395961332601856,1.3978593773950894,0.8842027489155488
70,high-overshoot,Aerosol-radiation interactions,0.008040862654658582,0.027063854945486066,1750,2020,270,0.0645622044478375,0.33172572332284256,0.6574922571436674,0.6721140131277816
71,high-overshoot,BC,0.0,0.0,1750,1750,0,0.0,0.0,0.0,0.0
72,high-overshoot,C2F6,0.0017745744888756456,0.00019922149379956376,2237,2237,0,0.22247874322136094,0.061012062366508,0.1383118207821652,0.178427576174508
73,high-overshoot,C3F8,0.00023993197330827277,2.693581274406608e-05,2218,2218,0,0.3248891497464548,0.11682482582709387,0.2690815006812879,0.33755850773541446
74,high-overshoot,C4F10,8.679718184828307e-05,9.74423126997802e-06,2066,2066,0,0.21338838346170527,0.07573732468446479,0.17893364984525284,0.22756932099322533
75,high-overshoot,C5F12,6.57962628287188e-05,7.386576246495688e-06,2067,2067,0,0.11785841547654,0.039848109448653087,0.09545138800705495,0.12249097962514396
76,high-overshoot,C6F14,0.00016815942098096325,1.8878312099213763e-05,2224,2224,0,0.31595946683673876,0.09005080830315425,0.2017918964766011,0.2611387340009633
77,high-overshoot,C7F16,5.1862257240335755e-05,5.822283834240872e-06,2039,2039,0,0.44953104319760656,0.2544110960377605,0.7882087664510135,1.066714917198279
78,high-overshoot,C8F18,3.823335254713922e-05,4.292243382937639e-06,2039,2039,0,0.2780616677227604,0.14558844956085096,0.4063698505429585,0.5402007576886776
79,high-overshoot,CCl4,0.017904368121827496,0.0020100226759304667,1991,1991,0,0.0,8.361275844713372e-17,7.027681288938032e-17,6.830162751375058e-17
80,high-overshoot,CF4,0.01052315435950277,0.0011813753348341094,2249,2249,0,0.22149659220067608,0.049562323778115806,0.11808195457841016,0.16670533041475744
81,high-overshoot,CFC-11,0.07885625706597478,0.008852748321700219,1994,1994,0,0.0,9.25497141466881e-17,9.514909232300908e-17,9.003127785598934e-17
82,high-overshoot,CFC-113,0.02542826226607193,0.002854687940760159,1996,1996,0,0.0,7.489958762641313e-17,8.047095686109686e-17,9.081095029996396e-17
83,high-overshoot,CFC-114,0.005225246567944705,0.0005866090340318961,2005,2005,0,0.0,7.496915853342023e-17,7.028025697949665e-17,8.951681280479672e-17
84,high-overshoot,CFC-115,0.002522677598047526,0.0002832068209073311,2087,2087,0,0.0,7.626965056397058e-17,7.366810068136733e-17,7.602297646723512e-17
85,high-overshoot,CFC-12,0.19591690335265904,0.021994488476632556,2003,2003,0,0.0,7.111493423671845e-17,8.665173873332048e-17,7.423731841999466e-17
86,high-overshoot,CH2Cl2,0.0013792504880879132,0.00015484069239310843,2101,2101,0,0.19710640140174077,0.7358690483752609,0.7795026473492691,0.9129781845889717
87,high-overshoot,CH3Br,1.6195778795293137e-05,1.8182089650628927e-06,1998,1998,0,0.0,1.942122969646081,4.48420183067106,0.07084737467088392
88,high-overshoot,CH3CCl3,0.009207357679163357,0.001033658244434702,1992,1992,0,0.0,8.949141715837093e-17,8.930998022143588e-17,9.346945416870246e-17
89,high-overshoot,CH3Cl,0.00046847974481736485,5.259358520164891e-05,1999,1999,0,0.0,0.8838143636317678,1.166592693078135,0.11415243430808268
90,high-overshoot,CHCl3,0.000412422742906246,4.6300380983586585e-05,1990,1990,0,0.0,0.9773574613420122,0.5240720919633217,2.3947187742773024
91,high-overshoot,CO,0.0,0.0,1750,1750,0,0.0,0.0,0.0,0.0
92,high-overshoot,CO2,7.594482708812652,1.3646726774710365,2134,2224,90,0.5133160143795251,0.09269289179362543,0.37223260233104977,0.5860924119754728
93,high-overshoot,CO2 AFOLU,0.0,0.0,1750,1750,0,0.0,0.0,0.0,0.0
94,high-overshoot,CO2 FFI,0.0,0.0,1750,1750,0,0.0,0.0,0.0,0.0
95,high-overshoot,Equivalent effective stratospheric chlorine,0.0,0.0,1750,1750,0,0.0,0.0,0.0,0.0
96,high-overshoot,HCFC-141b,0.003960414293553439,0.00044461343075362413,2023,2023,0,0.0,6.259721932700995e-17,9.386523185318607e-17,6.914206209053439e-17
97,high-overshoot,HCFC-142b,0.004350930962721088,0.0004884545400859814,2017,2017,0,0.0,6.467329763901065e-17,8.19503257870109e-17,9.051626319984419e-17
98,high-overshoot,HCFC-22,0.05401602758380894,0.006064075513213891,2024,2024,0,0.0,8.814685390910067e-17,8.858616703404291e-17,6.957482669128096e-17
99,high-overshoot,HFC-125,0.08222881459623085,0.009231366381023438,2120,2120,0,0.701342858309501,0.4812894437537826,0.7570913335577472,0.822737699635674
100,high-overshoot,HFC-134a,0.03223771771550153,0.003619147192880068,2111,2111,0,0.2188127537964515,0.48269085162938646,0.8066311723437566,0.848042099665849
101,high-overshoot,HFC-143a,0.05307682643048001,0.005958636683839634,2136,2136,0,0.7570136036401898,0.4250845901379287,0.7140476589775011,0.7949197236180555
102,high-overshoot,HFC-152a,0.000880633058644607,9.88637188983909e-05,2011,2011,0,0.0,0.7723192159693928,0.8217238819231002,0.8295889002130735
103,high-overshoot,HFC-227ea,0.0013421828611832058,0.00015067931846947022,2104,2104,0,0.34346022965291256,0.3622088182755909,0.6787329096257527,0.7920285237691725
104,high-overshoot,HFC-23,0.006234803943909879,0.0006999463606851045,2023,2023,0,0.0,0.0073813037649500465,0.009806724442157357,0.009806724442157412
105,high-overshoot,HFC-236fa,0.001001684252958421,0.00011245345542880769,2192,2192,0,0.7958527909367198,0.34424984183827156,0.631912725270764,0.7184932126248261
106,high-overshoot,HFC-245fa,0.0045964319208611935,0.0005160155514250344,2107,2107,0,0.616889311839562,0.6767069242497908,0.8069562321506037,0.8294445163532528
107,high-overshoot,HFC-32,0.002596341324326749,0.0002914766330116892,2017,2017,0,0.0,0.5141339334814887,0.824317827065665,0.8243178270656648
108,high-overshoot,HFC-365mfc,0.0004765893406662047,5.350400390159328e-05,2108,2108,0,0.26492005681644837,0.6099900870643119,0.8053150556985641,0.8293878787607202
109,high-overshoot,HFC-4310mee,0.00011110352105077869,1.24729672205259e-05,2027,2027,0,0.006832533672888721,0.3392465735370145,0.7645951781795033,0.8472194636982591
110,high-overshoot,Halon-1211,0.0013239894089321475,0.00014863684194478888,2006,2006,0,0.0,8.516447019354022e-17,7.413181186402018e-17,6.838705000256174e-17
111,high-overshoot,Halon-1301,0.0010685890352025084,0.00011996447891334279,2039,2039,0,0.0,6.923426459933391e-17,8.860587558617324e-17,7.95439817128015e-17
112,high-overshoot,Halon-2402,0.00015190793174458877,1.705384883636737e-05,2005,2005,0,0.0,6.949198218419309e-17,9.09577650690916e-17,8.13140977266425e-17
113,high-overshoot,Land use,2.2754954108745433e-05,0.0006598936691536175,1750,2125,375,0.10629307554510256,0.014771647243459512,0.11198995329643693,0.17906510360413289
114,high-overshoot,Light absorbing particles on snow and ice,0.09158392746428275,0.05701556405258003,2011,2251,240,9.885114119267157e-05,0.5388643793069666,1.1044266727615155,1.7706645434182646
115,high-overshoot,NF3,0.003325876232435874,0.00037337741265408835,2217,2217,0,0.6431123159734278,0.13418044948839103,0.354479939880612,0.5239097685192138
116,high-overshoot,NH3,0.0,0.0,1750,1750,0,0.0,0.0,0.0,0.0
117,high-overshoot,NOx,0.0,0.0,1750,1750,0,0.0,0.0,0.0,0.0
118,high-overshoot,Neg_allCH4,9.811977388775332e-05,9.435730651225825e-06,1753,1753,0,0.0,0.1604187332088756,0.5632069698281134,0.6863548753826292
119,high-overshoot,Neg_ariNH3,0.050746999457822725,0.0034247322977913044,2100,2100,0,0.14361581668336926,0.09076416382435866,0.17142506563052437,0.16949831329045878
120,high-overshoot,Neg_o3CO,0.01912524642147375,0.031741299815849215,1997,2250,253,0.11797399187993164,0.12500572772779733,0.34932982084056635,0.5396324211216271
121,high-overshoot,Neg_o3N2O,2.0959864856115367e-05,1.9464407127173577e-06,1754,1754,0,0.0,0.06088911509422833,0.1926727976872755,0.29258900523008646
122,high-overshoot,Neg_o3VOC,0.004784854931022109,0.008809734115403705,1997,2250,253,0.24161524023929645,0.37234213472271327,0.7857491793733916,0.967236694715886
123,high-overshoot,Neg_o3ariNOx,0.0033890263196229447,0.013536550866415274,1796,2007,211,0.0,0.42085910632023965,0.5923488553388043,0.5853669612274552
124,high-overshoot,OC,0.0,0.0,1750,1750,0,0.0,0.0,0.0,0.0
125,high-overshoot,SF6,0.041432705224147305,0.004651416707867503,2243,2243,0,0.6240235745147782,0.1312844307566094,0.34755996658302474,0.4960409183408157
126,high-overshoot,SO2F2,0.0008242442753334503,9.253326744920646e-05,2055,2055,0,0.15912124553021123,0.1781386380466636,0.3185261810679258,0.4676965977337655
127,high-overshoot,Solar,0.15096113435898798,0.04615365058017509,1812,1959,147,0.0,7.993087008935313e-17,7.931150842922247e-17,8.038727616549208e-17
128,high-overshoot,Sulfur,0.0,0.0,1750,1750,0,0.0,0.0,0.0,0.0
129,high-overshoot,VOC,0.0,0.0,1750,1750,0,0.0,0.0,0.0,0.0
130,high-overshoot,Volcanic,0.2461563558940813,0.03671869934656727,1876,1876,0,0.0,0.0,0.0,0.0
131,high-overshoot,allCH4,1.6571092363873794,0.16629184173236153,2106,2135,29,0.2860876425637494,0.1604187332088756,0.5632069698281134,0.6863548753826292
132,high-overshoot,ariNH3,6.343637373048446e-05,4.281092484100749e-06,1752,1752,0,0.0,0.09076416382435866,0.17142506563052437,0.16949831329045878
133,high-overshoot,c-C4F8,0.0013722543995872902,0.00015405528089836119,2240,2240,0,0.3222673248024002,0.09525522388427325,0.20336104487767148,0.26095810557160526
134,high-overshoot,o3CO,0.03978552044319709,0.047726628803422225,1997,2250,253,0.030501431818847468,0.12500572772779733,0.34932982084056635,0.5396324211216271
135,high-overshoot,o3N2O,0.9039265486455136,0.08977524462019502,2300,2300,0,0.39486695062832017,0.06088911509422833,0.1926727976872755,0.29258900523008646
136,high-overshoot,o3VOC,0.05364366136772306,0.04044063783829063,1997,2250,253,0.0016416178329829295,0.37234213472271327,0.7857491793733916,0.967236694715886
137,high-overshoot,o3ariNOx,0.16561186980105344,0.09606159350515654,1796,2007,211,0.0,0.42085910632023965,0.5923488553388043,0.5853669612274552
138,low,Aerosol-cloud interactions,0.29156223776666534,0.3058172999719555,1992,2251,259,0.28267622774441736,0.5395961332601856,1.3978593773950894,0.8842027489155488
139,low,Aerosol-radiation interactions,0.009098583436428666,0.027177866527492472,1750,2300,550,0.0645622044478375,0.33172572332284256,0.6574922571436674,0.6721140131277816
140,low,BC,0.0,0.0,1750,1750,0,0.0,0.0,0.0,0.0
141,low,C2F6,0.0014513250905576081,0.00016293210250805938,2097,2097,0,0.22247874322136094,0.061012062366508,0.1383118207821652,0.178427576174508
142,low,C3F8,0.00021332569168634432,2.3948875197966865e-05,2038,2038,0,0.3248891497464548,0.11682482582709387,0.2690815006812879,0.33755850773541446
143,low,C4F10,8.155087678243128e-05,9.155258116864894e-06,2038,2038,0,0.21338838346170527,0.07573732468446479,0.17893364984525284,0.22756932099322533
