,scenario,specie,max_forcing
243,ssp370,Equivalent effective stratospheric chlorine,0.0
244,ssp434,CO2 FFI,0.0
245,ssp434,CO2 AFOLU,0.0
246,ssp434,CO2,3.287947401208687
247,ssp434,CH4,1.2159792484788234
248,ssp434,N2O,0.6338540456982009
249,ssp434,Sulfur,0.0
250,ssp434,BC,0.0
251,ssp434,OC,0.0
252,ssp434,NH3,0.0
253,ssp434,NOx,0.0
254,ssp434,VOC,0.0
255,ssp434,CO,0.0
256,ssp434,CFC-11,0.10874641590356278
257,ssp434,CFC-12,0.2667876578096605
258,ssp434,CFC-113,0.034610525372512996
259,ssp434,CFC-114,0.0071433466771702045
260,ssp434,CFC-115,0.003092184408349858
261,ssp434,HCFC-22,0.07468032395230677
262,ssp434,HCFC-141b,0.006196395387024639
263,ssp434,HCFC-142b,0.005976800540897741
264,ssp434,CCl4,0.027362415413199233
265,ssp434,CHCl3,0.0011155847715662035
266,ssp434,CH2Cl2,0.0015250658178247464
267,ssp434,CH3Cl,0.0006556599706499374
268,ssp434,CH3CCl3,0.0117961696874994
269,ssp434,CH3Br,2.2428623797858934e-05
270,ssp434,Halon-1211,0.001787227331595694
271,ssp434,Halon-1301,0.001363176235044961
272,ssp434,Halon-2402,0.0002093076918959394
273,ssp434,CF4,0.01557003812232882
274,ssp434,C2F6,0.004373002443106155
275,ssp434,C3F8,0.0007916825757094332
276,ssp434,c-C4F8,0.0019882104993566713
277,ssp434,C4F10,0.00022382343016171926
278,ssp434,C5F12,0.00012411116879804137
279,ssp434,C6F14,0.0005876782856895665
280,ssp434,C7F16,0.0003597181720107804
281,ssp434,C8F18,0.00018336622905549527
282,ssp434,NF3,0.0045365059077188095
283,ssp434,SF6,0.04673730732537219
284,ssp434,SO2F2,0.0008800676371447982
285,ssp434,HFC-125,0.019062703938231257
286,ssp434,HFC-134a,0.025753838840910898
287,ssp434,HFC-143a,0.009771181614622076
288,ssp434,HFC-152a,0.0011769457215815198
289,ssp434,HFC-227ea,0.0007246776911202529
290,ssp434,HFC-23,0.0074281472747847474
291,ssp434,HFC-236fa,0.00010118954970176612
292,ssp434,HFC-245fa,0.0012435031292254467
293,ssp434,HFC-32,0.002171604198635173
294,ssp434,HFC-365mfc,0.0003844105121574158
295,ssp434,HFC-4310mee,0.0001499900957002199
296,ssp434,Solar,0.24319049655819902
297,ssp434,Volcanic,0.28137727172489746
298,ssp434,Aerosol-radiation interactions,0.3690762266221597
299,ssp434,Aerosol-cloud interactions,0.6381424177400454
300,ssp434,Ozone,1.0099427533966328
301,ssp434,Light absorbing particles on snow and ice,0.36198976331227767
302,ssp434,Stratospheric water vapour,0.3075670158445542
303,ssp434,Land use,0.014019543547370174
304,ssp434,Equivalent effective stratospheric chlorine,0.0
305,ssp460,CO2 FFI,0.0
306,ssp460,CO2 AFOLU,0.0
307,ssp460,CO2,6.004962503203709
308,ssp460,CH4,1.3416854063084969
309,ssp460,N2O,0.6606669995154854
310,ssp460,Sulfur,0.0
311,ssp460,BC,0.0
312,ssp460,OC,0.0
313,ssp460,NH3,0.0
314,ssp460,NOx,0.0
315,ssp460,VOC,0.0
316,ssp460,CO,0.0
317,ssp460,CFC-11,0.10874641590356278
318,ssp460,CFC-12,0.2667876578096605
319,ssp460,CFC-113,0.034610525372512996
320,ssp460,CFC-114,0.0071433466771702045
321,ssp460,CFC-115,0.003092184408349858
322,ssp460,HCFC-22,0.07468032395230677
323,ssp460,HCFC-141b,0.006196395387024639
324,ssp460,HCFC-142b,0.005976800540897741
325,ssp460,CCl4,0.027362415413199233
326,ssp460,CHCl3,0.0011155847715662035
327,ssp460,CH2Cl2,0.002181584797804878
328,ssp460,CH3Cl,0.0006823831820180723
329,ssp460,CH3CCl3,0.0117961696874994
330,ssp460,CH3Br,2.2428623797858934e-05
331,ssp460,Halon-1211,0.001787227331595694
332,ssp460,Halon-1301,0.001363176235044961
333,ssp460,Halon-2402,0.0002093076918959394
334,ssp460,CF4,0.018259768424893522
335,ssp460,C2F6,0.004933059452738845
336,ssp460,C3F8,0.0009075413137402513
337,ssp460,c-C4F8,0.0024065769153894558
338,ssp460,C4F10,0.0002515240382988194
339,ssp460,C5F12,0.00013541022138809363
340,ssp460,C6F14,0.0006721855851232804
341,ssp460,C7F16,0.00041482026488800296
342,ssp460,C8F18,0.00020678650923529752
343,ssp460,NF3,0.00427858541839925
344,ssp460,SF6,0.04452246258161839
345,ssp460,SO2F2,0.0012808622622386555
346,ssp460,HFC-125,0.11085657075328478
347,ssp460,HFC-134a,0.0466577521907788
348,ssp460,HFC-143a,0.05620472367445453
